中文名,英文名,基础分,最高分,所属地域
范高尔,Frankel,99,100,欧洲
格烈准将,Brigadier Gerard,98,100,欧洲
水车礁石,Mill Reef,97,99,欧洲
迪拜千禧,Dubai Millennium,96,99,欧洲
勇舞,Dancing Brave,96,98,欧洲
海都之星,Sea The Stars,96,98,欧洲
名画家,Peintre Celebre,95,97,欧洲
美宝莉,Pretty Polly,95,97,欧洲
尼金斯基,Nijinsky,95,96,欧洲
识价,Shergar,95,96,欧洲
带来吉利,Dalakhani,94,96,欧洲
大先生,El Gran Senor,94,96,欧洲
鱼子精华,Black Caviar,93,95,欧洲
先驱,Harbinger,93,95,欧洲
艾骅绅士,Sir Ivor,93,95,欧洲
春秋分,Equinox,92,94,日本
胜千里,Baaeed,92,94,欧洲
天鹰翱翔,Cirrus des Aigles,92,94,欧洲
多爵,Dayjur,92,94,欧洲
神鹰,El Condor Pasa,91,92,日本
望族,Montjeu,92,94,欧洲
缅甸皇城,Bago,91,93,欧洲
万胜飞,Mishriff,91,93,欧洲
小说家,Novellist,91,93,欧洲
青春永驻,Forever Young,89,91,日本
成全宝,Enable,91,92,欧洲
伽利略,Galileo,91,92,欧洲
金库神偷,Cracksman,90,92,欧洲
巨人长堤,Giant's Causeway,90,92,欧洲
皇仆,Kingman,90,92,欧洲
月影云霞,Moonlight Cloud,90,92,欧洲
吕宋火山,Pinatubo,90,92,欧洲
树林之灵,Waldgeist,90,92,欧洲
博斯拉沙姆,Bosra Sham,83,92,欧洲
杜拜威,Dubawi,89,91,欧洲
既成事實,Ghaiyyath,89,91,欧洲
旋进轨迹,Inspiral,89,91,欧洲
直布罗陀岩,Rock of Gibraltar,89,91,欧洲
信可成真,So You Think,89,91,欧洲
轰雷暴雪,Thunder Snow,89,91,欧洲
卓芙,Treve,89,91,欧洲
扎卡瓦,Zarkava,89,91,欧洲
好锋利,Oh So Sharp,87,91,欧洲
大震撼,Deep Impact,88,90,日本
一路通,Just A Way,87,89,日本
巴塔什,Battaash,88,90,欧洲
电极使者,Electrocutionist,88,90,欧洲
艳迹可寻,Found,88,90,欧洲
金号角,Golden Horn,88,90,欧洲
美艳时刻,Miesque,88,90,欧洲
眷念,Minding,88,90,欧洲
莫斯塔达夫,Mostahdaf,88,90,欧洲
圣乔治骑士团,Order of St George,88,90,欧洲
胜万金,Palace Pier,88,90,欧洲
猛狮怒吼,Roaring Lion,88,90,欧洲
圣马可大教堂,St Mark's Basilica,88,90,欧洲
街头号角,Street Cry,88,90,欧洲
赋格,The Fugue,88,90,欧洲
满乐时,Maurice,87,89,日本
胜局在望,Do Deuce,85,88,日本
顶级冲力,Ace Impact,88,90,欧洲
丘吉尔,Churchill,87,89,欧洲
达善,Darshaan,87,89,欧洲
正午,Midday,87,89,欧洲
绿化带,Nature Strip,87,89,欧洲
骄傲,Pride,87,89,欧洲
斯塔塞利塔,Stacelita,87,89,欧洲
惊世诗才,Torquator Tasso,87,89,欧洲
弦乐器,Stradivarius,86,89,欧洲
真心呼唤,Heart's Cry,86,88,日本
黄金巨匠,Orfevre,86,88,日本
大鸣大放,Duramente,85,87,日本
神威启示,Epiphaneia,85,87,日本
本初之海,Panthalassa,85,87,日本
多产巨匠,Auguste Rodin,86,88,欧洲
蔚蓝海角,Blue Point,86,88,欧洲
前路梦,Dream Ahead,86,88,欧洲
金刚威,Goldikova,86,88,欧洲
饶舌达人,Kyprios,86,88,欧洲
维多湖,Lake Victoria,86,88,欧洲
南加名城,Los Angeles,86,88,欧洲
马灵,Marling,86,88,欧洲
塞维涅侯爵,Mqse De Sevigne,86,88,欧洲
穆哈拉尔,Muhaarar,86,88,欧洲
绿洲梦,Oasis Dream,86,88,欧洲
苏维埃歌,Soviet Song,86,88,欧洲
名望荣耀,Fame And Glory,84,88,欧洲
爱,Love,83,88,欧洲
杏目,Almond Eye,85,87,日本
北部玄驹,Kitasan Black,85,87,日本
吸引力,Attraction,85,87,欧洲
坎福德悬崖,Canford Cliffs,85,87,欧洲
迪伦托马斯,Dylan Thomas,85,87,欧洲
金河,Gold River,85,87,欧洲
哈利天使,Harry Angel,85,87,欧洲
高地之舞,Highland Reel,85,87,欧洲
劳伦斯,Laurens,85,87,欧洲
萨耶达蒂,Sayyedati,85,87,欧洲
侠马道,Shamardal,85,87,欧洲
索洛,Solow,85,87,欧洲
圣尼古拉斯修道院,St Nicholas Abbey,85,87,欧洲
热到爆,Too Darn Hot,85,87,欧洲
真章,Trueshan,85,87,欧洲
雍容白荷,Lys Gracieux,84,87,日本
铁鸟翱天,Contrail,84,86,日本
龙王,Lord Kanaloa,84,86,日本
飞雪仙踪,Snow Fairy,84,86,日本
大树快车,Taiki Shuttle,84,86,日本
比萨胜驹,Victoire Pisa,84,86,日本
荒漠英雄,Zenno Rob Roy,84,86,日本
真命新帝,Shin Emperor,83,85,日本
滴酒不沾,Alcohol Free,84,86,欧洲
爱丽丝泉,Alice Springs,84,86,欧洲
卡美洛,Camelot,84,86,欧洲
丹梦,Danedream,84,86,欧洲
飓风巷,Hurricane Lane,84,86,欧洲
一气呵成,Legatissimo,84,86,欧洲
歌剧泰斗,Lope de Vega,84,86,欧洲
变魔术,Magical,84,86,欧洲
麦加天使,Mecca's Angel,84,86,欧洲
帕丁顿,Paddington,84,86,欧洲
百威胜,Presvis,84,86,欧洲
枢机主教,Prince Bishop,84,86,欧洲
莎贝莎,Sahpresa,84,86,欧洲
吹雪,Snowfall,84,86,欧洲
塔马尤兹,Tamayuz,84,86,欧洲
塔纳瓦,Tarnawa,84,86,欧洲
瓦丝巴德,Vazirabad,84,86,欧洲
创世驹,Chrono Genesis,83,85,日本
夏威夷王,King Kamehameha,83,85,日本
吉兆,Symboli Kris S,83,85,日本
好歌剧,T.M. Opera O,83,85,日本
贵妇人,Gentildonna,83,85,日本
吵闹不休,Barney Roy,84,85,欧洲
非洲传说,African Story,83,85,欧洲
南门二,Alpha Centauri,83,85,欧洲
登山英雌,Alpinista,83,85,欧洲
蔚蓝天使,Angel Bleu,83,85,欧洲
奥达雅,Audarya,83,85,欧洲
蓝袜,Bluestocking,83,85,欧洲
康杜伊,Conduit,83,85,欧洲
舞动之雨,Dancing Rain,83,85,欧洲
神圣比例,Divine Proportions,83,85,欧洲
难捉凯特,Elusive Kate,83,85,欧洲
喜菲皇女,Highfield Princess,83,85,欧洲
伊兹之巅,Izzi Top,83,85,欧洲
卢森堡,Luxembourg,83,85,欧洲
也许,Maybe,83,85,欧洲
里布切斯特,Ribchester,83,85,欧洲
天才画家,Roderic O'Connor,83,85,欧洲
俄罗斯韵律,Russian Rhythm,83,85,欧洲
独掌全权,Sole Power,83,85,欧洲
星运时机,Stravinsky,83,85,欧洲
塔格鲁达,Taghrooda,83,85,欧洲
冬季,Winter,83,85,欧洲
塔希拉,Tahiyra,82,85,欧洲
特别任务,Special Duty,81,85,欧洲
放声欢呼,Gran Alegria,83,85,日本
威信英明,Authority,82,84,日本
天空深处,Deep Sky,82,84,日本
黄金船,Gold Ship,82,84,日本
美浦波旁,Mihono Bourbon,82,84,日本
樱花进王,Sakura Bakushin O,82,84,日本
领衔,Titleholder,82,84,日本
盈宝奇岳,Ushba Tesoro,82,84,日本
大和赤骥,Daiwa Scarlet,81,83,日本
巴林加里,Ballingarry,83,84,欧洲
蓝玫瑰仙,Blue Rose Cen,82,84,欧洲
卡普里,Capri,82,84,欧洲
卡拉瓦乔,Caravaggio,82,84,欧洲
水晶鞋,Glass Slippers,82,84,欧洲
你好尤姆赞,Hello Youmzain,82,84,欧洲
邱园,Kew Gardens,82,84,欧洲
卡登,Khaadem,82,84,欧洲
金罗斯,Kinross,82,84,欧洲
奥莉莉亚女士,Lady Aurelia,82,84,欧洲
莉莉,Lillie Langtry,82,84,欧洲
玛莎,Marsha,82,84,欧洲
夜之魔力,Night Magic,82,84,欧洲
雷夜,Night of Thunder,82,84,欧洲
莎乐美,Salomina,82,84,欧洲
寻歌,Search For A Song,82,84,欧洲
沙奎尔,Shaquille,82,84,欧洲
占卜,Ouija Board,81,84,欧洲
叶芝,Yeats,81,84,欧洲
东海帝王,Tokai Teio,82,83,日本
气槽,Air Groove,81,83,日本
迷人景致,Buena Vista,81,83,日本
大和主将,Daiwa Major,81,83,日本
草上飞,Grass Wonder,81,83,日本
黑船,Kurofune,81,83,日本
丸善斯基,Maruzensky,81,83,日本
成田白仁,Narita Brian,81,83,日本
神赞,Shinzan,81,83,日本
特别周,Special Week,81,83,日本
文雅理查,Suave Richard,81,83,日本
伏特加,Vodka,81,83,日本
登广告,Advertise,81,83,欧洲
阿玛瑞特,Amarette,81,83,欧洲
艺术力量,Art Power,81,83,欧洲
坎帕内尔,Campanelle,81,83,欧洲
创意力量,Creative Force,81,83,欧洲
梦中梦,Dream of Dreams,81,83,欧洲
估算,Estimate,81,83,欧洲
梦幻蓝,Fancy Blue,81,83,欧洲
金梦,Goldream,81,83,欧洲
蓝调,Kind Of Blue,81,83,欧洲
马布斯十字,Mabs Cross,81,83,欧洲
