race_id,当前显示名,中文名,英文名,等级,赛事类别,地区,场地,赛场,距离,月份,半月,赛季,年龄条件,性别限定,中文来源,英文来源,核对备注
black-caviar-lightning,黑鱼子闪电锦标,黑鱼子闪电锦标,Black Caviar Lightning,G1,g1,澳洲,草地,其他地方,1000,2,1,三岁冬,3岁以上,,现有中文,由ID自动生成待核对,
oakleigh-plate,奥克利盘,奥克利盘,Oakleigh Plate,G1,g1,澳洲,草地,其他地方,1100,2,2,三岁冬,3岁以上,,现有中文,由ID自动生成待核对,
newmarket-handicap,新市场让赛,新市场让赛,Newmarket Handicap,G1,g1,澳洲,草地,其他地方,1200,3,1,三岁春,3岁以上,,现有中文,由ID自动生成待核对,
golden-slipper-stakes,金拖鞋大赛,金拖鞋大赛,Golden Slipper Stakes,G1,g1,澳洲,草地,其他地方,1200,3,2,二岁春,2岁,,现有中文,由ID自动生成待核对,
william-reid-stakes,威廉里德锦标,威廉里德锦标,William Reid Stakes,G1,g1,澳洲,草地,其他地方,1200,3,2,三岁春,3岁以上,,现有中文,由ID自动生成待核对,
doncaster-mile,唐卡士打一哩赛,唐卡士打一哩赛,Doncaster Mile,G1,g1,澳洲,草地,其他地方,1600,4,1,三岁春,3岁以上,,现有中文,由ID自动生成待核对,
queen-elizabeth-stakes-aus,女王伊丽莎白锦标,女王伊丽莎白锦标,Queen Elizabeth Stakes (Australia),G1,g1,澳洲,草地,其他地方,2000,4,1,三岁春,3岁以上,,现有中文,自译/规范名待核对,
tj-smith-stakes,T.J. Smith锦标,T.J. 史密斯锦标,T.J. Smith Stakes,G1,g1,澳洲,草地,其他地方,1200,4,1,三岁春,3岁以上,,自译待核对,自译/规范名待核对,
robert-sangster-stakes,罗伯特桑斯特锦标,罗伯特桑斯特锦标,Robert Sangster Stakes,G1,g1,澳洲,草地,其他地方,1200,4,2,三岁春,2岁以上,牝马,现有中文,由ID自动生成待核对,
the-goodwood,古活锦标,古活锦标,The Goodwood,G1,g1,澳洲,草地,其他地方,1200,5,1,三岁春,3岁以上,,现有中文,自译/规范名待核对,
aj-moir-stakes,A.J. Moir锦标,A.J. 莫伊尔锦标,A.J. Moir Stakes,G1,g1,澳洲,草地,其他地方,1000,9,2,三岁秋,3岁以上,,自译待核对,自译/规范名待核对,
